"ID","Species","metersLongitude","metersLatitude","decimalLatitude","decimalLongitude","source_ID","Sex","Age","Day","Month","Year","sampling_method","uncertainty","Sourcefile","yDay","wind_killed","d2H"
"X229","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald39","M","A",13,9,2006,"TURBINE_CARCASS",NA,"Baerwald",256,"yes",-197.504216883785
"X230","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald4","F","A",14,8,2006,"TURBINE_CARCASS",NA,"Baerwald",226,"yes",-149.763441275411
"X231","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald40","M","A",19,9,2006,"TURBINE_CARCASS",NA,"Baerwald",262,"yes",-135.700695225568
"X232","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald41","M","A",24,8,2006,"TURBINE_CARCASS",NA,"Baerwald",236,"yes",-134.439518307857
"X233","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald42","M","A",15,8,2006,"TURBINE_CARCASS",NA,"Baerwald",227,"yes",-111.814644036645
"X234","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald43","M","A",19,9,2006,"TURBINE_CARCASS",NA,"Baerwald",262,"yes",-109.333532421882
"X235","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald44","M","A",15,8,2006,"TURBINE_CARCASS",NA,"Baerwald",227,"yes",-107.590256689068
"X236","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald45","M","A",31,8,2006,"TURBINE_CARCASS",NA,"Baerwald",243,"yes",-105.658679899443
"X237","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald46","M","A",31,7,2007,"TURBINE_CARCASS",NA,"Baerwald",212,"yes",-101.242878388859
"X238","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald47","M","A",1,9,2007,"TURBINE_CARCASS",NA,"Baerwald",244,"yes",-100.593864307664
"X239","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald48","M","A",24,8,2006,"TURBINE_CARCASS",NA,"Baerwald",236,"yes",-97.4537673933373
"X240","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald49","M","A",29,8,2006,"TURBINE_CARCASS",NA,"Baerwald",241,"yes",-95.4339881379443
"X241","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald5","F","A",3,9,2006,"TURBINE_CARCASS",NA,"Baerwald",246,"yes",-145.012841710083
"X242","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald50","M","A",16,8,2006,"TURBINE_CARCASS",NA,"Baerwald",228,"yes",-95.3635211671073
"X243","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald51","M","A",9,9,2006,"TURBINE_CARCASS",NA,"Baerwald",252,"yes",-95.3450287687869
"X244","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald52","M","A",28,8,2007,"TURBINE_CARCASS",NA,"Baerwald",240,"yes",-92.6845719077423
"X245","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald53","M","A",19,9,2006,"TURBINE_CARCASS",NA,"Baerwald",262,"yes",-91.5304582291207
"X246","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald54","M","A",19,9,2006,"TURBINE_CARCASS",NA,"Baerwald",262,"yes",-90.685863438187
"X247","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald55","M","A",2,9,2006,"TURBINE_CARCASS",NA,"Baerwald",245,"yes",-88.6491958885293
"X248","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald56","M","A",22,8,2007,"TURBINE_CARCASS",NA,"Baerwald",234,"yes",-88.4624483270988
"X249","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald57","M","A",28,8,2007,"TURBINE_CARCASS",NA,"Baerwald",240,"yes",-88.2105578957477
"X250","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald58","M","A",19,9,2006,"TURBINE_CARCASS",NA,"Baerwald",262,"yes",-87.1276822978598
"X251","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald59","M","A",19,9,2006,"TURBINE_CARCASS",NA,"Baerwald",262,"yes",-86.8209692533735
"X252","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald6","F","A",25,8,2006,"TURBINE_CARCASS",NA,"Baerwald",237,"yes",-142.348358870903
"X253","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald60","M","A",22,8,2007,"TURBINE_CARCASS",NA,"Baerwald",234,"yes",-85.8166581710471
